,name,formatted_name,url,url2
29,Ja Morant,Ja-Morant,https://www.2kratings.com/wp-content/uploads/Ja-Morant-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Ja-Morant-2K.png
30,Oscar Robertson,Oscar-Robertson,https://www.2kratings.com/wp-content/uploads/Oscar-Robertson-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Oscar-Robertson-2K.png
31,Kyrie Irving,Kyrie-Irving,https://www.2kratings.com/wp-content/uploads/Kyrie-Irving-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kyrie-Irving-2K.png
32,Chris Paul,Chris-Paul,https://www.2kratings.com/wp-content/uploads/Chris-Paul-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Chris-Paul-2K.png
33,Alonzo Mourning,Alonzo-Mourning,https://www.2kratings.com/wp-content/uploads/Alonzo-Mourning-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Alonzo-Mourning-2K.png
34,John Stockton,John-Stockton,https://www.2kratings.com/wp-content/uploads/John-Stockton-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/John-Stockton-2K.png
35,Walt Frazier,Walt-Frazier,https://www.2kratings.com/wp-content/uploads/Walt-Frazier-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Walt-Frazier-2K.png
36,Wilt Chamberlain,Wilt-Chamberlain,https://www.2kratings.com/wp-content/uploads/Wilt-Chamberlain-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Wilt-Chamberlain-2K.png
37,Jason Kidd,Jason-Kidd,https://www.2kratings.com/wp-content/uploads/Jason-Kidd-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jason-Kidd-2K.png
38,Anthony Davis,Anthony-Davis,https://www.2kratings.com/wp-content/uploads/Anthony-Davis-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Anthony-Davis-2K.png
39,Jimmy Butler,Jimmy-Butler,https://www.2kratings.com/wp-content/uploads/Jimmy-Butler-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jimmy-Butler-2K.png
40,James Harden,James-Harden,https://www.2kratings.com/wp-content/uploads/James-Harden-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/James-Harden-2K.png
41,Paul Pierce,Paul-Pierce,https://www.2kratings.com/wp-content/uploads/Paul-Pierce-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Paul-Pierce-2K.png
42,Elgin Baylor,Elgin-Baylor,https://www.2kratings.com/wp-content/uploads/Elgin-Baylor-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Elgin-Baylor-2K.png
43,Carmelo Anthony,Carmelo-Anthony,https://www.2kratings.com/wp-content/uploads/Carmelo-Anthony-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Carmelo-Anthony-2K.png
44,Paul George,Paul-George,https://www.2kratings.com/wp-content/uploads/Paul-George-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Paul-George-2K.png
45,Isiah Thomas,Isiah-Thomas,https://www.2kratings.com/wp-content/uploads/Isiah-Thomas-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Isiah-Thomas-2K.png
46,Clyde Drexler,Clyde-Drexler,https://www.2kratings.com/wp-content/uploads/Clyde-Drexler-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Clyde-Drexler-2K.png
47,Klay Thompson,Klay-Thompson,https://www.2kratings.com/wp-content/uploads/Klay-Thompson-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Klay-Thompson-2K.png
48,Devin Booker,Devin-Booker,https://www.2kratings.com/wp-content/uploads/Devin-Booker-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Devin-Booker-2K.png
49,Kevin McHale,Kevin-McHale,https://www.2kratings.com/wp-content/uploads/Kevin-McHale-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kevin-McHale-2K.png
50,Pau Gasol,Pau-Gasol,https://www.2kratings.com/wp-content/uploads/Pau-Gasol-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Pau-Gasol-2K.png
51,Dominique Wilkins,Dominique-Wilkins,https://www.2kratings.com/wp-content/uploads/Dominique-Wilkins-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Dominique-Wilkins-2K.png
52,Tracy McGrady,Tracy-McGrady,https://www.2kratings.com/wp-content/uploads/Tracy-McGrady-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tracy-McGrady-2K.png
53,David Robinson,David-Robinson,https://www.2kratings.com/wp-content/uploads/David-Robinson-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/David-Robinson-2K.png
54,Gilbert Arenas,Gilbert-Arenas,https://www.2kratings.com/wp-content/uploads/Gilbert-Arenas-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Gilbert-Arenas-2K.png
55,Trae Young,Trae-Young,https://www.2kratings.com/wp-content/uploads/Trae-Young-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Trae-Young-2K.png
56,Jayson Tatum,Jayson-Tatum,https://www.2kratings.com/wp-content/uploads/Jayson-Tatum-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jayson-Tatum-2K.png
57,DeMar DeRozan,DeMar-DeRozan,https://www.2kratings.com/wp-content/uploads/DeMar-DeRozan-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/DeMar-DeRozan-2K.png
58,Damian Lillard,Damian-Lillard,https://www.2kratings.com/wp-content/uploads/Damian-Lillard-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Damian-Lillard-2K.png
59,Sidney Moncrief,Sidney-Moncrief,https://www.2kratings.com/wp-content/uploads/Sidney-Moncrief-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Sidney-Moncrief-2K.png
60,Blake Griffin,Blake-Griffin,https://www.2kratings.com/wp-content/uploads/Blake-Griffin-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Blake-Griffin-2K.png
61,Chris Webber,Chris-Webber,https://www.2kratings.com/wp-content/uploads/Chris-Webber-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Chris-Webber-2K.png
62,Patrick Ewing,Patrick-Ewing,https://www.2kratings.com/wp-content/uploads/Patrick-Ewing-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Patrick-Ewing-2K.png
63,Joe Dumars,Joe-Dumars,https://www.2kratings.com/wp-content/uploads/Joe-Dumars-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Joe-Dumars-2K.png
64,Tony Parker,Tony-Parker,https://www.2kratings.com/wp-content/uploads/Tony-Parker-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tony-Parker-2K.png
65,Draymond Green,Draymond-Green,https://www.2kratings.com/wp-content/uploads/Draymond-Green-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Draymond-Green-2K.png
66,Karl-Anthony Towns,Karl-Anthony-Towns,https://www.2kratings.com/wp-content/uploads/Karl-Anthony-Towns-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Karl-Anthony-Towns-2K.png
67,Zion Williamson,Zion-Williamson,https://www.2kratings.com/wp-content/uploads/Zion-Williamson-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Zion-Williamson-2K.png
68,Mark Price,Mark-Price,https://www.2kratings.com/wp-content/uploads/Mark-Price-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Mark-Price-2K.png
69,Marc Gasol,Marc-Gasol,https://www.2kratings.com/wp-content/uploads/Marc-Gasol-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Marc-Gasol-2K.png
70,Chauncey Billups,Chauncey-Billups,https://www.2kratings.com/wp-content/uploads/Chauncey-Billups-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Chauncey-Billups-2K.png
71,Brandon Roy,Brandon-Roy,https://www.2kratings.com/wp-content/uploads/Brandon-Roy-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Brandon-Roy-2K.png
72,Amar’e Stoudemire,Amare-Stoudemire,https://www.2kratings.com/wp-content/uploads/Amare-Stoudemire-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Amare-Stoudemire-2K.png
73,Shawn Kemp,Shawn-Kemp,https://www.2kratings.com/wp-content/uploads/Shawn-Kemp-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Shawn-Kemp-2K.png
74,Russell Westbrook,Russell-Westbrook,https://www.2kratings.com/wp-content/uploads/Russell-Westbrook-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Russell-Westbrook-2K.png
75,Chris Mullin,Chris-Mullin,https://www.2kratings.com/wp-content/uploads/Chris-Mullin-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Chris-Mullin-2K.png
76,Baron Davis,Baron-Davis,https://www.2kratings.com/wp-content/uploads/Baron-Davis-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Baron-Davis-2K.png
77,Zach LaVine,Zach-LaVine,https://www.2kratings.com/wp-content/uploads/Zach-LaVine-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Zach-LaVine-2K.png
78,Darius Garland,Darius-Garland,https://www.2kratings.com/wp-content/uploads/Darius-Garland-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Darius-Garland-2K.png
79,Shai Gilgeous-Alexander,Shai-Gilgeous-Alexander,https://www.2kratings.com/wp-content/uploads/Shai-Gilgeous-Alexander-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Shai-Gilgeous-Alexander-2K.png
80,Rudy Gobert,Rudy-Gobert,https://www.2kratings.com/wp-content/uploads/Rudy-Gobert-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Rudy-Gobert-2K.png
81,Terry Cummings,Terry-Cummings,https://www.2kratings.com/wp-content/uploads/Terry-Cummings-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Terry-Cummings-2K.png
82,Dennis Rodman,Dennis-Rodman,https://www.2kratings.com/wp-content/uploads/Dennis-Rodman-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Dennis-Rodman-2K.png
83,Sam Jones,Sam-Jones,https://www.2kratings.com/wp-content/uploads/Sam-Jones-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Sam-Jones-2K.png
84,Ray Allen,Ray-Allen,https://www.2kratings.com/wp-content/uploads/Ray-Allen-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Ray-Allen-2K.png
85,Tim Hardaway,Tim-Hardaway,https://www.2kratings.com/wp-content/uploads/Tim-Hardaway-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tim-Hardaway-2K.png
86,Ben Wallace,Ben-Wallace,https://www.2kratings.com/wp-content/uploads/Ben-Wallace-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Ben-Wallace-2K.png
87,Richard Hamilton,Richard-Hamilton,https://www.2kratings.com/wp-content/uploads/Richard-Hamilton-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Richard-Hamilton-2K.png
88,Yao Ming,Yao-Ming,https://www.2kratings.com/wp-content/uploads/Yao-Ming-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Yao-Ming-2K.png
89,Bam Adebayo,Bam-Adebayo,https://www.2kratings.com/wp-content/uploads/Bam-Adebayo-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Bam-Adebayo-2K.png
